# Constraint: A (every claim attributed to a woman in elected office; varied office levels)
claim_text,immigration,healthcare,crime,economy,education
"Governor Beatrix Ferdinand signed legislation expanding paid family leave to all private-sector workers statewide.",0,0,0,1,0
"Representative Magnolia Pierce introduced a bill creating a federal grant for rural hospital workforce retention.",0,1,0,1,0
"Senator Camille Foreman voted to advance legislation banning solitary confinement for individuals under 21.",0,0,1,0,0
"Mayor Ottilie Vance announced that the city would invest $18 million in refurbishing aging school HVAC systems.",0,0,0,1,1
"State Representative Ngozi Eze voted to expand the state's Medicaid coverage for postpartum care to one full year.",0,1,0,0,0
"AG Bronwen Llewellyn announced indictments in a $48 million wage theft case affecting 2,200 hospitality workers.",0,0,1,1,0
"Governor Hadley Sterling signed a bill increasing state per-pupil funding by $740 million over four years.",0,0,0,1,1
"Senator Annika Sundberg co-sponsored legislation requiring Medicare to negotiate prices for the next 50 highest-cost drugs.",0,1,0,0,0
"Representative Lakshmi Iyer voted against an amendment that would have eliminated Title IX funding enforcement.",0,0,0,0,1
"Comptroller Renata Voss projected that state debt service would consume 7.8 percent of general fund revenue next year.",0,0,0,1,0
"Mayor Chiamaka Okeke announced a partnership with three community colleges to expand healthcare workforce training.",0,1,0,0,1
"State Senator Polina Karolinska voted to expand the state's renewable energy tax credit through 2030.",0,0,0,1,0
"Governor Mariko Tanaka-Reeves signed legislation tying corporate tax incentives to apprenticeship hiring quotas.",0,0,0,1,1
"AG Rosalind Whittaker filed antitrust complaints against three pharmacy benefit managers for anticompetitive rebate practices.",0,1,0,1,0
"Senator Delphine Aubrey voted to advance legislation creating a federal commission on housing affordability.",0,0,0,1,0
"Representative Kalinda Sutter introduced a bill expanding refundable adoption tax credits for foster families.",0,0,0,1,0
"Mayor Astrid Halvorsen announced that the city had reduced unsheltered homelessness by 22 percent over two years.",0,1,1,0,0
"Governor Esme Carradine vetoed a bill that would have expanded ICE access to state driver's license databases.",1,0,1,0,0
"Senator Quinn Whitfield co-sponsored legislation funding the construction of 12 new federal courthouses nationwide.",0,0,1,0,0
"Representative Beatriz Castellanos voted to extend Temporary Protected Status for Central American countries through 2027.",1,0,0,0,0
"AG Aida Gallagher announced a settlement with three for-profit colleges totaling $128 million in student debt relief.",0,0,1,1,1
"Lieutenant Governor Solange Ardoin announced a state initiative providing free tax preparation services in 84 counties.",0,0,0,1,0
"State Representative Phoebe Carlisle voted against a bill that would have privatized state public defender services.",0,0,1,0,0
"Mayor Naima Diop announced that the city would expand its second-chance hiring program to all municipal departments.",0,0,1,1,0
"Governor Lior Aviram signed legislation expanding mental health insurance parity requirements for state-regulated plans.",0,1,0,0,0
"Senator Haley Westerlund introduced a bill creating federal grants for evidence-based teacher mentoring programs.",0,0,0,0,1
"Representative Ximena Aldana voted to expand the federal Workforce Innovation and Opportunity Act funding by 18 percent.",0,0,0,1,1
"AG Constance Whitehorse filed federal civil rights charges against three deputies in a custody death investigation.",0,0,1,0,0
"Mayor Sumaya Hassan announced a citywide expansion of community health workers serving immigrant neighborhoods.",1,1,0,0,0
"State Senator Briallen Pritchard voted against a measure that would have eliminated state-funded preschool slots.",0,0,0,1,1
"Governor Frieda Halverson signed legislation funding 1,400 new affordable housing units in three urban centers.",0,0,0,1,0
