"claim_text","immigration","healthcare","crime","economy","education","legal_political","elections","foreign_policy","verdict","speaker"
"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!",1,0,1,0,0,0,0,0,"Mostly True","hank-johnson"
"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.",0,0,0,1,0,0,0,0,"Mixed","facebook-posts"
"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.",1,0,0,0,0,0,1,0,"True","mike-murphy"
"Not one Republican has the guts to recognize that climate change is real.",0,0,0,1,0,0,1,0,"False","bernie-s"
"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.",0,0,0,1,0,0,0,0,"Mixed","bernie-s"
"David Dewhurst has a record of promoting an income tax.",0,0,0,1,0,0,0,0,"False","ted-cruz"
"Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons",0,0,0,1,0,0,0,0,"Mostly True","vincent-barrella"
"In the last five years, 28,000 people have been killed along the U.S.-Mexico border.",1,0,1,0,0,0,0,0,"False","lamar-smith"
"The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.",0,0,0,1,0,0,0,0,"Mostly False","bill-johnson"
"Says HB2 hasnt moved the needle one iota on North Carolinas economy.",0,0,0,1,0,0,0,0,"Mostly False","john-skvarla"
"Says Rick Scott called education not a core function of the state.",0,0,0,1,1,0,0,0,"False","florida-democratic-party"
"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.",0,1,0,1,0,0,0,0,"True","blue-oregon"
"Obamacare is the biggest tax increase in American history.",0,1,1,1,0,0,0,0,"False","mark-neumann"
"The median male worker in this country has not seen a raise, inflation adjusted, for 30 years, basically.",0,0,0,1,0,0,0,0,"Mostly True","rana-foroohar"
"Milwaukee Mayor Tom Barrett has held the line on property taxes.",0,0,0,1,0,0,0,0,"Mostly False","barack-obama"
"At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade.",0,0,0,1,0,0,0,0,"Mostly True","barack-obama"
"There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election.",1,0,1,0,0,0,0,0,"Mostly True","robby-mook"
"Democratic presidents ""have been considerably more effective at creating private-sector jobs.""",0,0,0,1,0,0,0,0,"True","carolyn-maloney"
"One percent of the American people make over 21 percent of all the income in America. That wasnt the way before George Bush became president.",0,0,0,1,0,0,0,0,"Mixed","joe-biden"
"Says that under Rick Perrys plan, Texas has cut funding for public schools by 25%.",0,0,0,1,1,0,0,0,"Mostly True","fix-austin-schools"
"Says David Perdue wants to abolish the U.S. Department of Education, which would cost Georgia schools $1 billion a year and eliminate millions in student loans.",0,0,0,1,1,0,0,0,"Mixed","democratic-senatorial-campaign-committee"
"The Paul Ryan budget proposal would privatize Medicare.",0,1,0,1,0,0,0,0,"Mostly True","agenda-project"
"High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court.",1,0,1,0,1,0,0,0,"Mostly True","steven-teske"
"The United States imprisons more than any nation in the world.",1,0,1,0,0,0,0,0,"Mixed","hank-johnson"
"...Over 30 years, federal spending on education has grown by 375 percent, but test scores remain flat.",0,0,0,1,1,0,0,0,"Mostly True","dave-brat"
"Says cuts to Medicare affect people who have already paid in. We paid for it.",0,1,0,1,0,0,0,0,"Mostly False","national-republican-senatorial-committee"
"The American healthcare system burns 18 percent of our national GDP. Nobody else is close.",0,1,0,1,0,0,0,0,"True","sheldon-whitehouse"
"Providences port is 200 miles closer to Europe than any other Eastern port.",0,0,0,1,0,0,0,0,"False","james-bennett"
"Says you need a photo ID to purchase Sudafed in Texas.",0,0,0,0,0,1,1,0,"True","rick-perry"
"Twenty percent of housing in Portlands Pearl District is affordable.",0,0,0,1,0,0,0,0,"Mostly True","tom-hughes"
"Says allowing the payroll tax holiday to expire would end up costing another estimated 900,000 jobs in 2012.",0,0,0,1,0,0,0,0,"Mostly True","jeff-merkley"
"Numerous studies have shown that these so-called right-to-work laws do not generate jobs and economic growth.",0,0,0,1,0,0,0,0,"Mixed","sheila-oliver"
"Obama's budget plan would take national debt up to about 80 percent of gross national product. ... Historically, it's been about 40 percent.",0,0,0,1,0,0,0,0,"True","judd-gregg"
"Says Sen. Sherrod Brown admitted that his $787 billion stimulus law failed and after specifically attacking Republicans for wanting to lower Americans taxes, (he) now claims that his stimulus bill didnt do enough to lower taxes.",0,0,0,1,0,0,0,0,"Mixed","national-republican-senatorial-committee"
"In the 1950s, ""A lot of people got rich and they had to pay a top tax rate of 90 percent.""",0,0,0,1,0,0,0,0,"Mostly True","michael-moore"
"Sixty-five percent of the Iraqi people now say it's okay to shoot an American soldier.",0,0,0,0,0,0,0,1,"Mostly False","bill-richardson"
"Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.",0,1,0,0,0,1,0,0,"False","barack-obama"
"Says Gov. Chris Christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years.",0,0,0,1,0,0,0,0,"Mixed","paul-sarlo"
"Warren (Buffett) still does support me.",0,0,0,1,0,0,0,0,"True","barack-obama"
"Says George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill.",0,0,0,1,0,0,0,0,"True","connie-mack"
"About 230,000 people that were on unemployment when I took office are not on unemployment now.",0,0,0,1,0,0,0,0,"Mostly True","rick-scott"
"Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info.",1,1,1,0,0,1,0,0,"False","evan-feinberg"
"John McCain, ""one of the richest people in a Senate filled with millionaires,"" says the solution to the housing crisis is for people to get a ""second job"" and ""skip their vacations.""",0,0,0,1,0,0,0,0,"Mostly False","moveon"
"Terry McAuliffe wants to raise your taxes $1,700 to pay for his infinite promises.",0,0,0,1,1,0,0,0,"False","ken-cuccinelli"
"Since the federal Violence Against Women Act was adopted in 1994, cases of domestic violence have fallen by 67 percent.",1,0,1,0,0,0,0,0,"Mostly True","gwen-moore"
"Says federal law enforcement officers cut off questioning of the Christmas Day underwear bomber by giving him a Miranda warning after 30 minutes of questioning.",0,0,1,0,0,1,0,1,"Mixed","rudy-giuliani"
"Since the president became the president, we have lost 3.3 million jobs in the private sector. But you know whos done OK and whos not complaining today? The public sector. Weve gained 590,000 public sector jobs.",0,0,0,1,0,0,0,0,"Mixed","steve-latourette"
"The top 1 percent pay over half of the entire revenue for this country.",0,0,0,1,0,0,0,0,"False","trent-franks"
"The difference over the (previous) four years between where things were headed and where we brought them to over the last four years is a total of $816 in saved property tax money.",0,0,0,1,0,0,0,0,"Mostly False","scott-walker"
"Chris Christie has not increased the taxes on anyone.",0,0,0,1,0,0,0,0,"Mixed","kim-guadagno"
"Says he never said he would keep education funding the same.",0,0,0,1,1,0,0,0,"False","rick-scott"
"(Palin) supported right-wing extremist Pat Buchanan for president in 2000.",0,0,0,0,0,0,0,1,"False","moveon"
"Says Sen. Sherrod Brown voted to block American energy production and increase energy taxes.",0,0,0,1,0,0,0,0,"Mostly False","us-chamber-commerce"
"Says Jeanne Shaheen voted for a measure that would have amounted to a new national energy tax.",0,0,0,1,0,0,0,0,"Mostly False","scott-brown"
"Washington, D.C., had some of the strictest gun laws in the country. And when they passed them, violence skyrocketed.",1,1,1,0,0,0,0,0,"Mixed","marco-rubio"
"Seven presidents before (Barack Obama) -- Republicans and Democrats -- tried to expand health care to all Americans.",0,1,0,0,0,0,0,0,"Mostly True","julian-castro"
"While fighting a move to toughen penalties for workplace gender discrimination, state Sen. Glenn Grothman said he didnt believe women belonged in the workplace but belonged at home, cooking and cleaning and having babies.",0,0,0,1,0,1,0,0,"False","christine-sinicki"
"If you put the $47 billion in revenue (raised over 10 years by the Buffett rule) into infrastructure you could create 611,000 infrastructure jobs.",0,0,0,1,0,0,0,0,"False","sheldon-whitehouse"
"I have repeatedly said that many of the predatory loans that were made in the mortgage system did target African-American and Latino communities.",0,0,0,1,0,0,0,0,"True","barack-obama"
"Starting in December 2007, 1.4 million jobs were created in Texas. In that same period, the rest of the country lost 400,000 jobs.",0,0,0,1,0,0,0,0,"Mostly True","rick-perry"
"The (health reform) legislation which Washington passed last year has made it more difficult to hire because its increased costs for employers.",0,1,0,1,0,0,0,0,"Mostly False","rob-portman"
"The CBO, the Congressional Budget Office has said that Obamacare will kill 800,000 jobs.",0,1,0,1,0,0,0,0,"Mostly False","michele-bachmann"
"Texas this fiscal year will have more money in reserve than the other 49 states combined.",0,0,0,1,0,0,0,0,"False","dan-patrick"
"The number of uninsured people in Massachusetts is about the same as it was when the mandates were passed in 2006.",0,1,0,0,0,0,0,0,"False","rick-perry"
"Upwards of 90 percent of women seeking an abortion decide not to have an abortion after seeing an ultrasound.",0,1,0,0,0,0,0,0,"False","rachel-campos-duffy"
"We spend less on defense today as % of GDP than at any time since Pearl Harbor.",0,0,0,1,0,0,0,0,"False","newt-gingrich"
"If you got rid of the income tax today you'd have about as much revenue as we had 10 years ago.",0,0,0,1,0,0,0,0,"Mostly True","ron-paul"
"Says Scott Walker wants to ban common forms of birth control, including the pill.",0,1,0,0,0,0,0,0,"Mixed","tom-barrett"
"Jason Kander supports [Obamas] plan to bring the remaining suspected terrorists to U.S. soil.",0,0,0,0,0,0,0,1,"False","roy-blunt"
"Top U.S. intelligence officials have toldevery member of Congress, including the president, were about to be attacked in a serious way because (of) the threat emanating from Syria and Iraq.",0,0,0,0,0,0,0,1,"Mixed","lindsey-graham"
"Blames Mike McIntyre and Nancy Pelosi for the second straight year of no cost-of-living increases for Social Security beneficiaries.",0,0,0,1,0,0,0,0,"Mostly False","national-republican-congressional-committee"
"The government is going to have the right to get into your bank account with the health care bill and make transfers without you knowing it.",0,1,0,0,0,0,0,0,"Mostly False","rush-limbaugh"
"The American people support defunding Obamacare and oppose shutting down the government.",0,1,0,0,0,0,0,0,"Mostly False","marco-rubio"
"Report that #GOP insisting on changes to Social Security as part of #fiscalcliff false. BTW those changes are supported by @barackobama.",0,0,0,1,0,0,0,0,"Mixed","marco-rubio"
"Rep. Paul Ryans Medicare plan lines the pockets of the private insurance companies, increases costs for seniors and does not reduce the deficit.",0,1,0,1,0,0,0,0,"Mixed","gerry-connolly"
"1/3 of our kids drop out (of high school), cannot go to college or start a career.",0,0,1,0,1,0,0,0,"Mostly False","jeb-bush"
"Not even old Gen. Eisenhower saluted military personnel as president.",0,0,0,0,0,0,0,1,"Mostly False","rachel-maddow"
"If Wisconsins governor cuts perquisites as much as he plans to do, it would still leave (workers) better off than their private sector counterparts.",0,0,0,1,0,0,0,0,"True","george-will"
"You cant get on an airplane, but more than 2,000 people on that list have been able to buy a gun.",0,0,1,0,0,0,0,1,"Mostly False","john-garamendi"
"74 percent of Republicans support the Affordable Care Act.",0,1,0,0,0,0,1,0,"False","donna-edwards"
"For every $1 spent on afterschool programs, we can save over $5, almost $6, in crime costs down the line.",0,0,1,1,1,0,0,0,"Mixed","peter-kilmartin"
"The federal government has $3 trillion in cash flow, so we can pay our bills and wont default.",0,0,0,1,0,0,0,0,"Mixed","roger-williams"
"Hillary Clinton supports unlimited abortion on demand up until the moment of birth, including partial-birth abortion, with taxpayer funding.",0,1,0,0,0,0,0,0,"False","ted-cruz"
"Under legislation that has cleared the Georgia House, some children who are legal refugees could obtain state scholarships to attend private schools.",1,0,0,1,1,0,0,0,"True","associated-press"
"We went from losing 3 million jobs in the last six months of the Bush Administration, adding almost 600,000 private sector jobs in the first six months of the year.",0,0,0,1,0,0,0,0,"Mostly True","joe-biden"
"The STAR Ohio fund just received the highest possible credit rating one of these funds can receive.",0,0,0,1,0,0,0,0,"Mixed","josh-mandel"
"In the last 22 months, businesses have created more than 3 million jobs. Last year, they created the most jobs since 2005.",0,0,1,1,0,0,0,0,"Mostly True","barack-obama"
"Every year, more than $40 million are leaving Missouri for the Lone Star State.",0,0,0,1,0,0,0,0,"Mixed","rick-perry"
"A college loan is the only loan in the United States that you cannot refinance when interest rates go down.",0,0,0,1,1,0,0,0,"Mostly True","bill-clinton"
"Says 24 million people in this country cant find a full-time job, 50 million cant see a doctor when theyre sick, 47 million people need government help to feed themselves and 15 million families owe more than the value of their home.",0,0,0,1,0,0,0,0,"True","alan-grayson"
"The policy mistakes that ... the Clintons made got us, in large degree, to the situation that we are in today with mass incarceration.",1,0,1,0,0,0,0,0,"Mixed","julius-jones"
"Says he raised average family income by 50 percent during his tenure as Arkansas governor.",0,0,0,1,0,0,0,0,"Mostly False","mike-huckabee"
"Says the CBO estimates that fully extending the Bush tax cuts would add 600,000-1.4 million jobs in 2011 and 900,000-2.7 million jobs in 2012.",0,0,0,1,0,0,0,0,"Mixed","national-association-manufacturers"
"President Reagan did it (raised the debt ceiling) 18 times. George W. Bush did it seven times.",0,0,0,1,0,0,0,0,"True","barack-obama"
"According to David Cay Johnston, the average American pays about 22 percent of their income to federal taxes. The richest 400 Americans pay about 16 percent of their income to federal taxes.",0,0,0,1,0,0,0,0,"Mixed","chris-hayes"
"Most young Americans right now, theyre not covered by health insurance.",0,1,0,0,0,0,0,0,"False","barack-obama"
"In 1952, the corporate income tax accounted for 33 percent of all federal tax revenue. Today, despite record-breaking profits, corporate taxes bring in less than 9 percent.",0,0,0,1,0,0,0,0,"Mostly True","bernie-s"
"Over the last 10 years, Texas created 33 percent of the net new jobs nationwide.",0,0,0,1,0,0,0,0,"True","rick-perry"
"Says two-thirds of groups targeted for IRS scrutiny were not conservative.",0,0,0,1,0,0,0,0,"False","progress-texas"
"In the class of 1968 at Patrice Lumumba University in Moscow, Mahmoud Abbas was one of the members of that class, and so was Ali Khamenei. And thats where they first established relationships with the young Vladimir Putin.",0,0,0,0,0,0,0,1,"False","ben-carson"
"As a U.S. senator with salary and perks, ‪#Bernie‬ is in the top 1 percent, but still paid only 13 percent in taxes last year.",0,0,0,1,0,0,0,0,"Mostly False","dinesh-dsouza"
"You know we can't just pull out now... The truth of the matter is: If we started today, it would take one year, one year to get 160,000 troops physically out of Iraq, logistically.",0,0,0,0,0,0,0,1,"True","joe-biden"
"From 2013-2015, the richest 14 Americans increased their net wealth by more than $157 billion, yet the Republican budget would not require these Americans to contribute one penny to deficit reduction.",0,0,0,1,0,0,0,0,"Mixed","bernie-s"
"Says Texas routinely gets a lot more federal spending than it pays in taxes.",0,0,0,1,0,0,0,0,"Mostly True","rachel-maddow"
"Says it has offered $12 million in savings through 2011 and $184 million in savings over the next 25 years in contract negotiations with the City of Milwaukee.",0,0,0,1,0,0,0,0,"Mostly False","milwaukee-police-association"
"Clackamas County Commissioners approved a re-negotiated agreement to lower the countys contribution to TriMets Portland-Milwaukie Light Rail project to $19.9 million from $25 million.",0,0,0,1,0,0,0,0,"False","clackamas-county-commission"
"Says Texas has 11 different felonies you can commit with an oyster.",1,0,1,0,0,0,0,0,"Mostly True","scott-henson"
"Electric car sales in Georgia have dropped dramatically since a $5,000 tax credit was eliminated and a $200 annual registration fee was imposed July 1.",0,0,0,1,0,0,0,0,"True","don-francis"
"The GOP budget plan would cut nearly a million jobs.",0,0,0,1,0,0,0,0,"Mixed","organizing-america"
"Says Hillary Clinton defended Syrias President Assad as a possible reformer at the start of that countrys civil war.",0,0,0,0,0,0,0,1,"Mixed","chris-wallace"
"The Postal Services financial losses result from a 2006 law that drains $5 billion a year from post office revenue, while the Postal Service is forced to overpay billions more into federal accounts.",0,0,0,1,0,0,0,0,"Mixed","save-americas-postal-service"
"As many as six federal department budget bills have been delayed because of opposition to amendments that would ban Confederate battle flag sales at federal building gift shops.",0,0,0,1,0,0,0,0,"Mostly True","lloyd-doggett"
"Shes voted for 60 tax increases, hurting the middle class and small businesses.",0,0,0,1,0,0,0,0,"False","rob-cornilles"
"Now, in the House of Representatives, we have 40 different jobs bills that have passed and almost all of them have been bipartisan.",0,0,0,1,0,0,0,0,"Mostly False","frank-guinta"
"Republican (small business tax cut) bill spends $80 million for better Google searches, not job creation",0,0,0,1,0,0,0,0,"Mostly False","cory-mason"
"America is one of the highest-taxed nations in the world.",0,0,0,1,0,0,0,0,"Mostly False","donald-trump"
"If black America were a country, itd be the 15th wealthiest nation in the world.",0,0,1,1,0,0,0,0,"False","larry-elder"
"2008 was the deadliest year of the war (in Afghanistan) for American forces.",0,0,0,0,0,0,0,1,"True","barack-obama"
"Polls show that Floridians dont want to repeal the Affordable Care Act.",0,1,0,0,0,0,1,0,"Mostly False","joe-gibbons"
"Says Congressman Bill Pascrell voted to remove the public option from the Affordable Health Care Act.",0,1,0,0,0,0,0,0,"False","steve-rothman"
"Greg Abbott and his surrogates have referred to women who have been the victims of rape or incest as though somehow what they are confronting is a minor issue.",0,0,1,0,0,1,0,0,"False","wendy-davis"
"Under a proposed medical marijuana amendment in Florida, you dont get refills -- you get it forever.",0,1,1,0,0,0,0,0,"Mostly False","drug-free-america"
"A data-storing microchip ""would be implanted in the majority of people who opt to become covered by the public health care option.""",0,1,0,0,0,0,0,0,"False","chain-email"
"Enacting the Right-to-Carry Act would amount to expanding the rights of sex offenders, terrorists, child predators, and abusers to carry concealed weapons across state lines.",0,0,1,0,0,1,0,0,"Mixed","david-cicilline"
"Jorge Elorza wants to impose a municipal income tax.",0,0,0,1,0,0,0,0,"False","vincent-buddy-cianci"
"Roughly 25% of RI has a criminal record",1,0,1,1,0,1,0,0,"False","direct-action-rights-equality"
"As governor of Arkansas, I cut taxes and fees almost 100 times, saving the taxpayers almost $380-million. I left a surplus of nearly $850-million.",0,0,0,1,0,0,0,0,"Mixed","mike-huckabee"
"I havent raised taxes in the time Ive been the governor of New Jersey.",0,0,0,1,0,0,0,0,"Mixed","chris-christie"
"Congress is bewildered at the scope and reach of our spying apparatus but in 2008 and 2012 explicitly rejected an amendment calling for more disclosure.",0,0,0,0,0,0,0,1,"True","jon-stewart"
"Six people in Florida die as a result of (not expanding Medicaid) every day.",0,1,0,1,0,0,0,0,"Mixed","charlie-crist"
"Gov. Maggie Hassans budget proposal raises taxes on small businesses and increases taxes and fees by $100 million.",0,0,0,1,0,0,0,0,"Mostly True","americans-prosperity"
"Only in Washington would politicians spend $27 million to teach Moroccans how to make pottery.",0,0,0,1,0,0,0,0,"Mostly False","karen-handel"
"SaysRand Paulhas put out budgets to cut the military in half.",0,0,0,1,0,0,0,1,"False","adam-kinzinger"
"Says legislative cuts mean Texas is spending on average $500 less per student.",0,0,0,1,1,0,0,0,"True","donna-howard"
"[A]t his current rate, President Obama will have added more debt to the United State of America by the end of his first term than each of the previous 43 presidents -- combined!",0,0,0,1,0,0,0,0,"Mixed","GaGOP"
"We know that Saudi Arabia started al-Qaida.",0,0,0,0,0,0,0,1,"Mixed","bob-graham"
"Says although the unemployment rate seems to be improving, it does not reflect real job creation -- its caused by a shrinking of the actual labor force.",0,0,0,1,0,0,0,0,"Mostly True","arianna-huffington"
"Gov. Scott Walker hired convicted Assembly Speaker Scott Jensen to oversee a raid on the state employee retirement system to help balance the state budget.",0,0,0,1,0,0,0,0,"False","chain-email"
"Obama voted ""to cut off funding for our American troops on the battlefield.""",0,0,0,0,0,0,0,1,"Mostly False","joe-lieberman"
"The so-called defense minister of the Peoples Republic of Donetsk ... actually posted a bragging social media posting of having shot down a military transport. And then when it became apparent it was civilian, they pulled it down from social media.",0,0,0,0,0,0,0,1,"Mostly True","john-kerry"
"Democrats are kind of falling over each other seeing who can raise taxes faster. It looks like they're going to raise taxes anywhere between 20 to 30 percent.",0,0,0,1,0,0,0,0,"Mixed","rudy-giuliani"
"Right now one of our highest job growth sectors is Leisure and Hospitality. Weve added jobs that mostly fall within the restaurant and bar sector industry. These are not high-paying jobs, as the U.S. Department of Labor estimates this is an industry sector with the lowest average wages and the lowest proportion of its workforce earning minimum or subminimum wage jobs.",0,0,0,1,0,0,0,0,"Mostly True","lou-greenwald"
