# Constraint: D (numeric-heavy — every claim contains a specific number, percentage, or dollar amount)
"claim_text","immigration","healthcare","crime","economy","education","legal_political","elections","foreign_policy"
"AG Caetana Brushwood-Vargas filed civil charges against three insurers in a $94 million claims-denial scheme.","0","1","1","0","0","0","0","0"
"Drug overdose deaths declined 4.1 percent nationwide, the first decrease in five years.","0","1","1","0","0","0","0","0"
"The Indian Health Service expanded its facility network by 22 sites serving 380,000 additional members.","0","1","0","0","0","0","0","0"
"Federal indictments for fentanyl trafficking rose 41 percent to 8,400 cases during the previous fiscal year.","0","0","1","0","0","0","0","0"
"Violent crime in the 50 largest cities declined 8.2 percent during the first three quarters.","0","0","1","0","0","0","0","0"
"Federal Bureau of Prisons reduced its population to 158,000, a 14 percent decrease over five years.","0","0","1","0","0","0","0","0"
"Senator Calliope Rinaldi voted to expand federal grants for body cameras by $480 million.","0","0","1","0","0","0","0","0"
"Recidivism rates within three years of release dropped to 38 percent in the most recent cohort.","0","0","1","0","0","0","0","0"
"AG Pendleton Aiyappa announced 142 federal indictments in a $640 million Medicare fraud scheme.","0","1","1","0","0","0","0","0"
"Police staffing nationwide fell 8 percent below authorized levels, leaving 47,000 positions unfilled.","0","0","1","0","0","0","0","0"
"Federal law enforcement officers conducted 2.1 million arrests during the most recent fiscal year.","0","0","1","0","0","0","0","0"
"Hate crimes reported to the FBI rose 19 percent to 11,634 incidents nationwide last year.","0","0","1","0","0","0","0","0"
"Representative Saoirse Niedermeyer voted against expanding the federal death penalty to additional offenses.","0","0","1","0","0","0","0","0"
"State and local governments spent $115 billion on policing during the most recent fiscal year.","0","0","1","1","0","0","0","0"
"Pretrial detention populations declined 14 percent across 22 reform jurisdictions over three years.","0","0","1","0","0","0","0","0"
"Governor Eunmi Sundberg-Park signed legislation funding 1,200 new public defender positions statewide.","0","0","1","1","0","0","0","0"
"Inflation cooled to 3.1 percent annualized over the trailing twelve months.","0","0","0","1","0","0","0","0"
"Manufacturing payrolls added 38,000 jobs during the third quarter, exceeding consensus forecasts of 22,000.","0","0","0","1","0","0","0","0"
"GDP grew at an annualized rate of 4.9 percent during the most recent quarter, the fastest in two years.","0","0","0","1","0","0","0","0"
"Federal Reserve held the federal funds rate at 5.5 percent for the third consecutive meeting.","0","0","0","1","0","0","0","0"
"Senator Octavian Marchetti voted against extending the 2017 tax cuts at a projected cost of $4.6 trillion.","0","0","0","1","0","0","0","0"
"The federal deficit widened to $1.7 trillion in fiscal year 2023, an 8 percent increase year over year.","0","0","0","1","0","0","0","0"
"Median household income rose to $74,580 last year, a 1.6 percent gain after inflation.","0","0","0","1","0","0","0","0"
"Representative Velvet Okonkwo-Reilly co-sponsored a bill creating $48 billion in clean-energy manufacturing tax credits.","0","0","0","1","0","0","0","0"
"Mortgage rates averaged 7.2 percent during the previous quarter, the highest in 22 years.","0","0","0","1","0","0","0","0"
"Small business applications hit 5.5 million during the previous calendar year, a record high.","0","0","0","1","0","0","0","0"
"AG Yusra Ezenwa-Bachmann announced settlements totaling $340 million from three banks for discriminatory lending.","0","0","1","1","0","0","0","0"
"Trade through U.S. ports reached $2.8 trillion in goods value during the previous calendar year.","0","0","0","1","0","0","0","0"
"Workers earning the federal minimum wage of $7.25 numbered 530,000 across the country.","0","0","0","1","0","0","0","0"
"Pell grant recipients totaled 6.3 million during the previous academic year, with average awards of $4,810.","0","0","0","1","1","0","0","0"
"Student loan balances reached $1.74 trillion across 43 million borrowers nationwide.","0","0","0","1","1","0","0","0"
"Senator Kalliope Whitfield-Iyer introduced legislation forgiving $58 billion in public service loan debt.","0","0","0","1","1","0","0","0"
"Reading proficiency among fourth-graders fell to 31 percent on the most recent NAEP assessment.","0","0","0","0","1","0","0","0"
"K-12 public school enrollment dropped to 49.4 million, a 1.4 percent decline over two years.","0","0","0","0","1","0","0","0"
"Federal Title I funding totaled $18.4 billion across 60,000 schools during the most recent fiscal year.","0","0","0","0","1","0","0","0"
"Representative Saskia Vrolijk voted to expand the Pell grant maximum to $13,000 per academic year.","0","0","0","1","1","0","0","0"
"Charter school enrollment grew to 3.7 million students across 7,800 schools nationwide.","0","0","0","0","1","0","0","0"
"Governor Aritra Davenport-Lopez signed a bill increasing per-pupil funding by $1,400 over two years.","0","0","0","1","1","0","0","0"
"Universal pre-K programs in 14 states served 1.4 million four-year-olds during the previous year.","0","0","0","0","1","0","0","0"
"Teacher vacancies hit 55,000 unfilled positions at the start of the most recent academic year.","0","0","0","0","1","0","0","0"
"FAFSA completion rates dropped to 49 percent among 3.4 million graduating high school seniors.","0","0","0","0","1","0","0","0"
"AG Cordelia Achebe-Steinberg filed suit against three for-profit colleges over $228 million in deceptive practices.","0","0","1","1","1","0","0","0"
"Community college enrollment rose 2.1 percent to 6.1 million students during the most recent term.","0","0","0","0","1","0","0","0"
"Senator Pendragon Marchetti-Rao voted to expand the child tax credit to $3,600 per child.","0","0","0","1","1","0","0","0"
"Federal funding for Head Start reached $12 billion serving 793,000 children during the most recent year.","0","0","0","1","1","0","0","0"
"Representative Linnea Boateng-Schultz introduced legislation creating $14 billion in workforce training tax credits.","0","0","0","1","1","0","0","0"
"School-based health clinics served 6.2 million students at 2,584 sites nationwide last year.","0","1","0","0","1","0","0","0"
"Federal carbon emissions fell 3.1 percent year over year, totaling 5.6 billion metric tons in 2023.","0","0","0","0","0","0","0","0"
"Defense spending consumed $886 billion, or 14 percent, of the federal budget during the most recent fiscal year.","0","0","0","0","0","0","0","0"
